                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5294,                  7.242,                      0,                 1.1718,                  1.284,                0.95816,                0.95082,                0.98252,                0.61759,                0.76652,                 0.7611,                0.70457,                0.22532,                 1.2247,                 3.5888,                      0,                0.61035,                 1.0706,              0.0033129,              0.0033129,              0.0033129
                      2,                 1.0808,                 3.7264,                      0,                0.67266,                 1.0225,                0.96551,                0.97924,                0.98906,                0.63555,                0.88299,                0.89965,                   0.88,                0.36137,                 1.1316,                 2.6684,                      0,                0.62633,                 1.0566,              0.0066331,              0.0066331,              0.0066331
                      3,                 1.0389,                 2.7394,                      0,                0.66883,                 1.0153,                0.92215,                0.95848,                0.96799,                0.61963,                0.85442,                0.90657,                0.85491,                0.45343,                 1.0808,                 1.9987,                      0,                0.63481,                 1.0399,                0.00994,                0.00994,                0.00994
                      4,                 1.0583,                 2.1866,                      0,                0.69043,                 1.0235,                0.95942,                0.98168,                0.99153,                0.66135,                0.92201,                0.94089,                0.94149,                0.57359,                 1.0768,                 1.5623,                      0,                0.61176,                 1.0651,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0097,                 1.7764,                      0,                0.65529,                 1.0072,                0.96231,                0.97578,                0.98057,                   0.66,                0.93516,                0.94826,                0.93972,                0.56029,                 1.0412,                 1.4235,                      0,                0.62726,                 1.0417,              0.0099208,              0.0099208,              0.0099208
                      6,                0.99129,                 1.5372,                      0,                0.63918,                  1.001,                0.97608,                0.98833,                0.99345,                0.70933,                0.95561,                0.96827,                0.97141,                0.67661,                 1.0172,                 1.2098,                      0,                0.57111,                 1.0066,               0.009901,               0.009901,               0.009901
                      7,                0.94601,                 1.4416,                      0,                0.62359,                 0.9833,                0.97249,                 0.9786,                0.99206,                0.71825,                0.96546,                0.97232,                  0.981,                0.63496,                0.92914,                   1.28,                      0,                0.57066,                0.97884,              0.0098812,              0.0098812,              0.0098812
                      8,                0.92167,                  1.318,                      0,                0.60791,                0.97431,                0.98272,                0.99308,                0.99419,                0.73193,                 0.9793,                0.98962,                 0.9906,                0.70538,                0.89925,                 1.0418,                      0,                 0.5249,                0.97815,              0.0098614,              0.0098614,              0.0098614
                      9,                0.87563,                 1.1948,                      0,                0.57212,                0.95345,                0.98189,                0.98962,                0.99337,                0.73506,                0.97256,                0.98111,                0.98318,                0.72339,                0.92352,                 1.0646,                      0,                0.49595,                0.96807,              0.0098416,              0.0098416,              0.0098416
                     10,                 0.8628,                 1.1479,                      0,                0.56746,                0.95291,                0.98353,                0.98962,                0.99415,                0.74303,                 0.9765,                 0.9827,                 0.9873,                0.73521,                0.87316,                 0.9763,                      0,                 0.4917,                0.96936,              0.0098218,              0.0098218,              0.0098218
