                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.16883,                0.04511,                      0,                0.16028,                0.80204,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.13274,                0.01943,                      0,                0.12849,                0.76873,              0.0017723,              0.0017723,              0.0017723
                     25,                0.16902,                0.04019,                      0,                0.15848,                0.79652,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.14126,                0.01861,                      0,                0.13289,                0.76614,              0.0017624,              0.0017624,              0.0017624
                     26,                0.16841,                0.04725,                      0,                0.15957,                0.79604,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.14968,                0.01887,                      0,                 0.1366,                0.77086,              0.0017525,              0.0017525,              0.0017525
                     27,                0.16442,                0.03901,                      0,                0.15466,                0.79841,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.12021,                 0.0312,                      0,                0.11409,                0.76427,              0.0017426,              0.0017426,              0.0017426
                     28,                  0.161,                0.03538,                      0,                0.15251,                0.80111,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.13807,                 0.0152,                      0,                0.12878,                0.76695,              0.0017327,              0.0017327,              0.0017327
                     29,                0.16773,                0.04539,                      0,                0.15928,                0.79627,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.11963,                0.02563,                      0,                0.11764,                0.76356,              0.0017228,              0.0017228,              0.0017228
                     30,                0.16531,                0.04678,                      0,                0.15698,                0.79833,                 0.9997,                      1,                  0.995,                  0.995,                 0.9997,                      1,                  0.995,                  0.995,                0.11296,                 0.0111,                      0,                0.11561,                0.76417,              0.0017129,              0.0017129,              0.0017129
                     31,                0.15382,                0.04238,                      0,                0.14916,                0.79683,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.10449,                0.02525,                      0,                0.11162,                0.76324,               0.001703,               0.001703,               0.001703
                     32,                0.15502,                0.03888,                      0,                0.14818,                0.79663,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.16956,                0.01367,                      0,                0.12858,                0.77077,              0.0016931,              0.0016931,              0.0016931
                     33,                0.14959,                0.02845,                      0,                 0.1426,                0.79298,                0.99982,                      1,                  0.995,                0.99466,                0.99982,                      1,                  0.995,                  0.995,                0.11124,                0.01056,                      0,                0.10624,                0.76468,              0.0016832,              0.0016832,              0.0016832
                     34,                0.14883,                0.03674,                      0,                0.14425,                0.79497,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                 0.1014,                0.01095,                      0,                 0.1006,                0.76211,              0.0016733,              0.0016733,              0.0016733
                     35,                0.14524,                0.03704,                      0,                0.14181,                0.79507,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.12541,                0.00691,                      0,                0.11052,                0.76759,              0.0016634,              0.0016634,              0.0016634
                     36,                0.15209,                0.03232,                      0,                0.14728,                0.79805,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.11327,                0.04031,                      0,                0.11905,                 0.7646,              0.0016535,              0.0016535,              0.0016535
                     37,                0.14436,                0.03102,                      0,                0.13991,                0.79681,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.11956,                0.01178,                      0,                0.10716,                0.76439,              0.0016436,              0.0016436,              0.0016436
                     38,                0.14658,                0.03143,                      0,                0.14123,                0.79542,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.12026,                0.00749,                      0,                0.11322,                0.76223,              0.0016337,              0.0016337,              0.0016337
                     39,                0.14383,                0.02469,                      0,                0.13936,                0.79437,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.09405,                0.01066,                      0,                0.10633,                0.76173,              0.0016238,              0.0016238,              0.0016238
                     40,                0.13645,                0.03298,                      0,                0.13465,                0.78847,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.10108,                0.01092,                      0,                0.10621,                0.76137,              0.0016139,              0.0016139,              0.0016139
                     41,                0.14631,                0.03847,                      0,                0.14318,                0.79653,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.11029,                0.01161,                      0,                 0.1067,                0.76294,               0.001604,               0.001604,               0.001604
                     42,                 0.1409,                0.02524,                      0,                0.13486,                 0.7939,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.09883,                0.01092,                      0,                0.10599,                0.76119,              0.0015941,              0.0015941,              0.0015941
                     43,                0.13772,                0.03545,                      0,                0.13426,                0.79592,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.10412,                0.01211,                      0,                0.11667,                0.76278,              0.0015842,              0.0015842,              0.0015842
                     44,                0.14205,                0.03531,                      0,                0.13746,                0.79496,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.09591,                0.00693,                      0,                0.10252,                0.76089,              0.0015743,              0.0015743,              0.0015743
                     45,                0.14156,                0.02949,                      0,                 0.1364,                0.79275,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.11566,                0.00938,                      0,                0.10748,                0.76371,              0.0015644,              0.0015644,              0.0015644
                     46,                0.14401,                0.02788,                      0,                0.13527,                0.79373,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.12455,                0.02198,                      0,                0.11518,                 0.7648,              0.0015545,              0.0015545,              0.0015545
                     47,                0.14125,                0.02936,                      0,                0.13455,                0.79677,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                 0.1142,                0.00889,                      0,                0.10115,                0.76365,              0.0015446,              0.0015446,              0.0015446
                     48,                0.13469,                0.03049,                      0,                0.13329,                0.79303,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.10259,                0.00912,                      0,                0.10346,                0.76245,              0.0015347,              0.0015347,              0.0015347
                     49,                0.13055,                0.02956,                      0,                 0.1279,                0.79259,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08113,                0.00734,                      0,                0.09808,                0.75864,              0.0015248,              0.0015248,              0.0015248
                     50,                0.13868,                0.03153,                      0,                0.13453,                0.79427,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08748,                0.01629,                      0,                0.09479,                0.75837,              0.0015149,              0.0015149,              0.0015149
                     51,                0.13223,                0.02782,                      0,                0.12863,                0.79405,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.10662,                0.01001,                      0,                0.10073,                0.76201,               0.001505,               0.001505,               0.001505
                     52,                0.13235,                0.02328,                      0,                0.12983,                0.79436,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.10849,                0.00973,                      0,                0.10329,                0.76346,              0.0014951,              0.0014951,              0.0014951
                     53,                0.12957,                0.02121,                      0,                0.12915,                0.79018,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08681,                0.00876,                      0,                0.09823,                0.75936,              0.0014852,              0.0014852,              0.0014852
                     54,                0.12808,                0.02519,                      0,                0.12856,                0.79373,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08862,                0.00911,                      0,                0.09261,                0.75993,              0.0014753,              0.0014753,              0.0014753
                     55,                0.13108,                0.02502,                      0,                0.13132,                0.79385,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.10722,                0.00647,                      0,                0.10129,                0.76321,              0.0014654,              0.0014654,              0.0014654
                     56,                0.12796,                0.02759,                      0,                0.12891,                0.79222,                0.99916,                      1,                  0.995,                  0.995,                0.99916,                      1,                  0.995,                  0.995,                0.09537,                0.01187,                      0,                0.23215,                0.75997,              0.0014555,              0.0014555,              0.0014555
                     57,                 0.1269,                0.02249,                      0,                0.12534,                0.79286,                0.99977,                      1,                  0.995,                  0.995,                0.99977,                      1,                  0.995,                  0.995,                0.09055,                   0.01,                      0,                0.08942,                0.75967,              0.0014456,              0.0014456,              0.0014456
                     58,                0.12853,                0.02164,                      0,                0.12604,                0.79201,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.09407,                0.01158,                      0,                0.08775,                0.76016,              0.0014357,              0.0014357,              0.0014357
                     59,                0.12694,                0.02037,                      0,                 0.1223,                0.79187,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08266,                0.00944,                      0,                0.08785,                0.75954,              0.0014258,              0.0014258,              0.0014258
                     60,                0.12426,                0.02048,                      0,                0.12251,                0.79053,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.09019,                0.00771,                      0,                0.08791,                 0.7597,              0.0014159,              0.0014159,              0.0014159
                     61,                 0.1281,                0.02095,                      0,                0.12286,                0.79578,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08908,                0.00632,                      0,                0.08637,                0.75999,               0.001406,               0.001406,               0.001406
                     62,                0.12477,                0.02142,                      0,                 0.1202,                0.79212,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.08216,                0.00762,                      0,                0.08687,                0.75881,              0.0013961,              0.0013961,              0.0013961
                     63,                 0.1238,                0.02177,                      0,                 0.1231,                0.79255,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.08351,                0.01111,                      0,                0.08189,                0.75868,              0.0013862,              0.0013862,              0.0013862
                     64,                0.12491,                0.02418,                      0,                0.12211,                0.79127,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.09301,                0.00613,                      0,                0.08627,                0.75937,              0.0013763,              0.0013763,              0.0013763
                     65,                0.12106,                0.02079,                      0,                0.11955,                 0.7915,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.08626,                0.01172,                      0,                0.08299,                0.75903,              0.0013664,              0.0013664,              0.0013664
                     66,                0.11839,                0.01929,                      0,                0.11665,                0.78387,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                 0.0845,                0.01013,                      0,                0.08788,                0.75886,              0.0013565,              0.0013565,              0.0013565
