                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69279,                 4.8909,                      0,                0.84364,                 1.0868,                0.99976,                      1,                  0.995,                0.90505,                0.82679,                0.82699,                0.78305,                 0.0911,                0.45729,                 5.3523,                      0,                 0.3114,                0.88226,             0.00066258,             0.00066258,             0.00066258
                      2,                0.36662,                 1.3704,                      0,                 0.3092,                0.86207,                0.99981,                      1,                  0.995,                0.95862,                0.99981,                      1,                  0.995,                0.77595,                0.31084,                0.90732,                      0,                0.23543,                0.84318,              0.0013227,              0.0013227,              0.0013227
                      3,                0.33481,                 0.6456,                      0,                0.29111,                 0.8525,                0.99811,                      1,                  0.995,                0.95905,                0.99811,                      1,                  0.995,                 0.8218,                0.37453,                0.54655,                      0,                0.40239,                0.85504,              0.0019762,              0.0019762,              0.0019762
                      4,                0.31443,                0.46295,                      0,                0.26761,                0.84455,                0.99981,                      1,                  0.995,                0.98636,                0.99981,                      1,                  0.995,                0.93044,                 0.2769,                0.27488,                      0,                0.21481,                0.82805,              0.0019703,              0.0019703,              0.0019703
                      5,                0.28509,                0.32213,                      0,                  0.245,                0.83946,                0.99958,                      1,                  0.995,                0.99397,                0.99958,                      1,                  0.995,                  0.995,                0.22559,                0.11894,                      0,                 0.2159,                0.81618,              0.0019604,              0.0019604,              0.0019604
                      6,                0.25307,                0.32588,                      0,                0.22596,                0.83298,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                0.97745,                0.18975,                0.30432,                      0,                0.17876,                0.80491,              0.0019505,              0.0019505,              0.0019505
                      7,                0.24261,                0.24606,                      0,                0.21826,                0.83019,                0.99969,                      1,                  0.995,                  0.995,                0.99969,                      1,                  0.995,                  0.995,                0.17984,                0.11199,                      0,                0.17857,                0.80161,              0.0019406,              0.0019406,              0.0019406
                      8,                0.22878,                0.20102,                      0,                0.20585,                0.83088,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.16428,                0.05229,                      0,                 0.1363,                0.80087,              0.0019307,              0.0019307,              0.0019307
                      9,                0.22256,                0.18778,                      0,                0.19708,                0.83085,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.13767,                0.04508,                      0,                0.13253,                0.79784,              0.0019208,              0.0019208,              0.0019208
                     10,                0.21278,                0.15848,                      0,                0.19418,                0.82573,                0.99981,                      1,                  0.995,                  0.995,                0.99981,                      1,                  0.995,                  0.995,                0.14894,                0.04436,                      0,                0.14313,                0.80227,              0.0019109,              0.0019109,              0.0019109
                     11,                0.20747,                0.13719,                      0,                0.18682,                0.82779,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.13609,                0.07585,                      0,                0.12065,                0.79965,               0.001901,               0.001901,               0.001901
